trial,n_components,method,rmse
93,4,project,1.7412041365143471
93,4,sklearn,1.7015678319776821
93,6,project,1.3778265091369926
93,6,sklearn,1.2453111109854855
93,8,project,1.0765089406067168
93,8,sklearn,0.7959577795811487
94,2,project,2.0246729387510674
94,2,sklearn,2.024672938751067
94,4,project,1.6937690226848034
94,4,sklearn,1.5731099389189764
94,6,project,1.4564492813569205
94,6,sklearn,1.11544962827569
94,8,project,1.2746080295468323
94,8,sklearn,0.7047119128972834
95,2,project,2.172044580629692
95,2,sklearn,2.108714965360975
95,4,project,1.807081417819485
95,4,sklearn,1.6464368540839125
95,6,project,1.4957114263332691
95,6,sklearn,1.2277975843648317
95,8,project,1.2134373172764805
95,8,sklearn,0.7840403476405902
96,2,project,2.131103337264351
96,2,sklearn,2.072621300146143
96,4,project,1.8317233404303244
96,4,sklearn,1.6477023417711003
96,6,project,1.6017524462400412
96,6,sklearn,1.2363381288533137
96,8,project,1.5246853420238329
96,8,sklearn,0.7760069235497168
97,2,project,2.0420933294398895
97,2,sklearn,2.042093329439885
97,4,project,1.659994325646516
97,4,sklearn,1.6452095422436916
97,6,project,1.4069773762270794
97,6,sklearn,1.2218768217873521
97,8,project,1.4058098354786484
97,8,sklearn,0.816784297335926
98,2,project,2.5135234234038877
98,2,sklearn,2.073476628786046
98,4,project,2.5135234234038877
98,4,sklearn,1.6184385598969615
98,6,project,2.5135234234038877
98,6,sklearn,1.191423336532662
98,8,project,2.5135234234038877
98,8,sklearn,0.7019613846343578
99,2,project,2.490020080240318
99,2,sklearn,2.030263016621091
99,4,project,2.490020080240318
99,4,sklearn,1.6156407187999022
99,6,project,2.490020080240318
99,6,sklearn,1.1885692519450297
99,8,project,2.490020080240318
99,8,sklearn,0.777412742397325
